FROM,TO
Body, Bone marrow-UBERON:0002371
Body, Blood-UBERON:0000178
Bone marrow-UBERON:0002371, precursor B cell (pre B cell)-CL:0000817
Bone marrow-UBERON:0002371, immature B cell-CL:0000816
Bone marrow-UBERON:0002371, memory B cell-CL:0000787
Bone marrow-UBERON:0002371, naive B cell-CL:0000788
Bone marrow-UBERON:0002371, plasma cell-CL:0000786
Bone marrow-UBERON:0002371, pro B progenitor-CL:0000826
Bone marrow-UBERON:0002371, transitional B cell-CL:0000818
Bone marrow-UBERON:0002371, dendritic cell type 1 (DC1)
Bone marrow-UBERON:0002371, dendritic cell type 2 (DC2)
Bone marrow-UBERON:0002371, dendritic cell type 3 (DC3)
Bone marrow-UBERON:0002371, Plasmacytoid Dendritic Cell (pDC)-CL:0001058
Bone marrow-UBERON:0002371, Tolerogenic Dendritic Cell (tDC)
Bone marrow-UBERON:0002371, early erythroid
Bone marrow-UBERON:0002371, mid erythroid
Bone marrow-UBERON:0002371, late erythroid
Bone marrow-UBERON:0002371, Megakaryocyte (MK)
Bone marrow-UBERON:0002371, early Megakaryocyte (MK)
Bone marrow-UBERON:0002371, ME(M)P
Bone marrow-UBERON:0002371, common lymphoid progenitor (CLP)
Bone marrow-UBERON:0002371, common myeloid progenitor (CMP)
Bone marrow-UBERON:0002371, granulocyte-macrophage progenitor cell (GMP)
Bone marrow-UBERON:0002371, hemopoietic stem cell (HSC)
Bone marrow-UBERON:0002371, lympho-myeloid progenitor cell (LMPP)
Bone marrow-UBERON:0002371, multipotent progenitor cell (MPP)
Bone marrow-UBERON:0002371, CD14 monocyte-CL:0001054
Bone marrow-UBERON:0002371, CD16 monocyte
Bone marrow-UBERON:0002371, promonocyte
Bone marrow-UBERON:0002371, Myeloid progenitor (MOP)
Bone marrow-UBERON:0002371, myelocyte
Bone marrow-UBERON:0002371, neutrophil-CL:0000775
Bone marrow-UBERON:0002371, promyelocyte
Bone marrow-UBERON:0002371, eosinophil-CL:0000771
Bone marrow-UBERON:0002371, basophil-CL:0000767
Bone marrow-UBERON:0002371, mast cell
Bone marrow-UBERON:0002371, CD4 naïve
Bone marrow-UBERON:0002371, CD4 T cell memory
Bone marrow-UBERON:0002371, CD4 T cell effector memory CD45RA
Bone marrow-UBERON:0002371, CD8 naïve
Bone marrow-UBERON:0002371, CD8 T cell memory
Bone marrow-UBERON:0002371, CD8 T cell effector memory
Bone marrow-UBERON:0002371, CD8 T cell effector memory CD45RA-CL:0001062
Bone marrow-UBERON:0002371, mature CD8 T cell
Bone marrow-UBERON:0002371, CD56 bright Natural Killer-CL:0000938
Bone marrow-UBERON:0002371, mature Natural killer-CL:0000824
Bone marrow-UBERON:0002371, T regulatory-CL:0000815
Blood-UBERON:0000178, immature B cell-CL:0000816
Blood-UBERON:0000178, memory B cell-CL:0000787
Blood-UBERON:0000178, naive B cell-CL:0000788
Blood-UBERON:0000178, transitional B cell-CL:0000818
Blood-UBERON:0000178, dendritic cell type 1 (DC1)
Blood-UBERON:0000178, dendritic cell type 2 (DC2)
Blood-UBERON:0000178, dendritic cell type 3 (DC3)
Blood-UBERON:0000178, Plasmacytoid Dendritic Cell (pDC)-CL:0001058
Blood-UBERON:0000178, Tolerogenic Dendritic Cell (tDC)
Blood-UBERON:0000178, CD14 monocyte-CL:0001054
Blood-UBERON:0000178, CD16 monocyte
Blood-UBERON:0000178, neutrophil-CL:0000775
Blood-UBERON:0000178, eosinophil-CL:0000771
Blood-UBERON:0000178, basophil-CL:0000767
Blood-UBERON:0000178, CD4 naïve
Blood-UBERON:0000178, CD4 T cell memory
Blood-UBERON:0000178, CD4 T cell effector memory CD45RA
Blood-UBERON:0000178, CD8 naïve
Blood-UBERON:0000178, CD8 T cell memory
Blood-UBERON:0000178, CD8 T cell effector memory
Blood-UBERON:0000178, CD8 T cell effector memory CD45RA-CL:0001062
Blood-UBERON:0000178, mature CD8 T cell
Blood-UBERON:0000178, CD56 bright Natural killer-CL:0000938
Blood-UBERON:0000178, mature Natural killer-CL:0000824
Blood-UBERON:0000178, T regulatory-CL:0000815
Body, brain-UBERON:0000955
